Date,avr_d,tw_d,avr_t,tw_t
2017/7/6,0.000351305,-0.000756,0.136965841,0.236809
2017/7/7,-0.002385485,-0.006467,0.134580356,0.230342
2017/7/10,-0.001389319,-0.000621,0.133191036,0.229721
2017/7/11,0.001012596,0.010171,0.134203632,0.239892
2017/7/12,0.002301908,0.00408,0.13650554,0.243972
2017/7/13,0.001869864,0.004486,0.138375404,0.248458
2017/7/14,-0.017831108,0.000074,0.120544295,0.248532
2017/7/17,0.001508383,0.00265,0.122052678,0.251182
2017/7/18,0.00170621,0.003734,0.123758888,0.254916
2017/7/19,0.001878551,0.002725,0.125637439,0.257641
2017/7/20,-0.0001358,-0.001076,0.125501639,0.256565
2017/7/21,-5.34473E-07,-0.004091,0.125501104,0.252474
2017/7/24,-0.000745146,0.00256,0.124755958,0.255034
2017/7/25,0.032429128,0.001642,0.157185087,0.256676
2017/7/26,-0.000427095,-0.003156,0.156757992,0.25352
2017/7/27,-0.003816091,0.008852,0.152941901,0.262372
2017/7/28,-0.002924495,-0.007212,0.150017407,0.25516
2017/7/31,0.00189942,-0.000431,0.151916826,0.254729
2017/8/1,0.003545454,0.004658,0.155462281,0.259387
2017/8/2,0.002705313,0.006185,0.158167593,0.265572
2017/8/3,7.79384E-05,-0.002261,0.158245531,0.263311
2017/8/4,0.002735181,0.005375,0.160980712,0.268686
2017/8/7,0.003636371,0.005437,0.164617083,0.274123
2017/8/8,-0.002751819,-0.001998,0.161865264,0.272125
2017/8/9,-0.000119058,-0.007353,0.161746207,0.264772
2017/8/10,-0.009858904,-0.014584,0.151887302,0.250188
2017/8/11,0.000829531,0.00172,0.152716834,0.251908
2017/8/14,-0.004497523,-0.010633,0.14821931,0.241275
2017/8/15,0.001754859,0.007214,0.149974169,0.248489
2017/8/16,0.001169322,-0.000616,0.151143491,0.247873
2017/8/17,0.00309947,0.009164,0.154242961,0.257037
2017/8/18,0.000859457,-0.004053,0.155102418,0.252984
2017/8/21,0.002113433,0.001967,0.15721585,0.254951
2017/8/22,0.001662329,0.004801,0.158878179,0.259752
2017/8/23,0.00140815,0.00098,0.160286329,0.260732
2017/8/24,0.003627428,0.008486,0.163913757,0.269218
2017/8/25,0.001480437,0.002725,0.165394194,0.271943
2017/8/28,0.001976524,0.002958,0.167370718,0.274901
2017/8/29,0.00032114,-0.00309,0.167691858,0.271811
2017/8/30,0.002703112,0.007191,0.170394969,0.279002
2017/8/31,0.001047971,0.003003,0.17144294,0.282005
2017/9/1,0.001490372,0.001013,0.172933312,0.283018
2017/9/4,-0.00067041,-0.003915,0.172262902,0.279103
2017/9/5,0.003994386,0.005047,0.176257288,0.28415
2017/9/6,-0.002143997,-0.007025,0.174113291,0.277125
2017/9/7,-0.000210992,-0.000999,0.1739023,0.276126
2017/9/8,0.004781355,0.007267,0.178683654,0.283393
2017/9/11,0.001183297,-0.003068,0.179866952,0.280325
2017/9/12,-0.000102845,0.002338,0.179764106,0.282663
2017/9/13,-0.000635623,-0.007914,0.179128483,0.274749
2017/9/14,0.00192048,0.002326,0.181048963,0.277075
2017/9/15,0.001112109,0.00308,0.182161073,0.280155
2017/9/18,0.001592211,0.005076,0.183753284,0.285231
2017/9/19,-0.002070847,-0.008427,0.181682437,0.276804
2017/9/20,-0.000923796,-0.006579,0.180758641,0.270225
2017/9/21,0.00373767,0.007422,0.184496311,0.277647
2017/9/22,-0.003346023,-0.012329,0.181150288,0.265318
2017/9/25,-0.004660471,-0.011826,0.176489817,0.253492
2017/9/26,-0.003010844,-0.006176,0.173478973,0.247316
2017/9/27,0.001585055,0.00725,0.175064029,0.254566
2017/9/28,0.001447971,-0.002557,0.176512,0.252009
2017/9/29,0.00018036,0.001322,0.176692359,0.253331
2017/9/30,0.001503147,0.0064,0.178195507,0.259731
2017/10/2,0.001793567,0.005431,0.179989073,0.265162
2017/10/3,-0.000659407,-0.001539,0.179329667,0.263623
2017/10/5,0.004706019,0.003677,0.184035686,0.2673
2017/10/6,0.00165792,0.00172,0.185693605,0.26902
2017/10/11,0.001517681,0.003952,0.187211287,0.272972
2017/10/12,-0.000169357,0.003609,0.18704193,0.276581
2017/10/13,0.000705962,0.001426,0.187747892,0.278007
2017/10/16,0.001906426,0.005334,0.189654318,0.283341
2017/10/17,-0.002289178,-0.0034,0.18736514,0.279941
2017/10/18,0.000297347,-0.002338,0.187662487,0.277603
2017/10/19,0.00123233,0.003077,0.188894817,0.28068
2017/10/20,0.000108073,-0.002103,0.18900289,0.278577
2017/10/23,0.001226893,-0.000774,0.190229782,0.277803
2017/10/24,0.0010585,0.002036,0.191288282,0.279839
2017/10/25,-6.14281E-06,0.000753,0.191282139,0.280592
2017/10/26,0.000670539,0.000212,0.191952679,0.280804
2017/10/27,-0.003251659,-0.006022,0.18870102,0.274782
2017/10/30,0.000361572,0.001422,0.189062593,0.276204
2017/10/31,0.002599924,0.004195,0.191662517,0.280399
2017/11/1,0.001377328,0.001969,0.193039845,0.282368
2017/11/2,0.001407408,-0.000551,0.194447254,0.281817
2017/11/3,0.001778826,0.003426,0.19622608,0.285243
2017/11/6,0.000764681,-0.002154,0.196990761,0.283089
2017/11/7,-0.000341039,0.001669,0.196649722,0.284758
2017/11/8,0.001230398,-0.000959,0.19788012,0.283799
2017/11/9,-0.003405943,-0.007188,0.194474178,0.276611
2017/11/10,0.002505003,-0.000742,0.196979181,0.275869
2017/11/13,-0.002138242,-0.004646,0.194840939,0.271223
2017/11/14,-0.001777783,-0.000136,0.193063156,0.271087
2017/11/15,0.000681928,-0.004028,0.193745084,0.267059
2017/11/16,7.10254E-05,-0.001194,0.19381611,0.265865
2017/11/17,0.001132546,0.005379,0.194948655,0.271244
2017/11/20,0.001772245,-0.001343,0.1967209,0.269901
2017/11/21,0.001839641,0.008828,0.198560541,0.278729
2017/11/22,0.000372973,0.006055,0.198933514,0.284784
2017/11/23,0.001615457,0.003168,0.200548971,0.287952
2017/11/24,0.000373661,-0.001554,0.200922631,0.286398
2017/11/27,-0.000463668,-0.004834,0.200458963,0.281564
2017/11/28,0.000653076,-0.002038,0.201112039,0.279526
2017/11/29,0.001703444,0.000239,0.202815483,0.279765
2017/11/30,-0.001636183,-0.00903,0.2011793,0.270735
2017/12/1,-0.001717401,-0.000503,0.199461899,0.270232
2017/12/4,0.001659398,0.002823,0.201121297,0.273055
2017/12/5,-0.002481409,-0.005225,0.198639888,0.26783
2017/12/6,-0.003027346,-0.017604,0.195612541,0.250226
2017/12/7,-0.000723899,-0.004017,0.194888643,0.246209
2017/12/8,0.00045928,0.004619,0.195347922,0.250828
2017/12/11,0.001440581,0.008286,0.196788504,0.259114
2017/12/12,-0.000514607,-0.003487,0.196273897,0.255627
2017/12/13,0.001204239,0.003775,0.197478136,0.259402
2017/12/14,0.000590783,0.004342,0.198068918,0.263744
2017/12/15,0.00010102,-0.004901,0.198169939,0.258843
2017/12/18,0.001166816,0.004813,0.199336755,0.263656
2017/12/19,-0.000619033,-0.00257,0.198717722,0.261086
2017/12/20,0.001459939,0.004895,0.200177661,0.265981
2017/12/21,0.001088346,-0.002337,0.201266007,0.263644
2017/12/22,0.000724488,0.003067,0.201990495,0.266711
2017/12/25,-0.013243005,-0.002776,0.18874749,0.263935
2017/12/26,-0.002603779,-0.009236,0.186143711,0.254699
2017/12/27,0.002447193,0.008671,0.188590904,0.26337
2017/12/28,0.001577258,0.008499,0.190168162,0.271869
2017/12/29,0.002032844,0.005165,0.192201005,0.277034
2018/1/2,0.002432511,0.004851,0.194633517,0.281885
2018/1/3,0.001915075,0.005947,0.196548592,0.287832
2018/1/4,0.00073765,0.002892,0.197286242,0.290724
2018/1/5,0.012350617,0.003045,0.209636859,0.293769
2018/1/8,0.000244309,0.002083,0.209881168,0.295852
2018/1/9,-0.000270621,-0.000092,0.209610548,0.29576
2018/1/10,-0.000356537,-0.004058,0.209254011,0.291702
2018/1/11,-0.000321274,-0.000915,0.208932738,0.290787
2018/1/12,0.002307893,0.006431,0.21124063,0.297218
2018/1/15,0.001512049,0.005239,0.21275268,0.302457
2018/1/16,0.001335396,0.002852,0.214088076,0.305309
2018/1/17,0.001186912,0.000653,0.215274987,0.305962
2018/1/18,-0.001315664,0.001128,0.213959324,0.30709
2018/1/19,-0.000857381,0.00203,0.213101942,0.30912
2018/1/22,0.000744772,0.003162,0.213846715,0.312282
2018/1/23,-0.00104054,-0.001961,0.212806175,0.310321
2018/1/24,-0.000107432,-0.00348,0.212698743,0.306841
2018/1/25,-0.001011176,0.001531,0.211687567,0.308372
2018/1/26,0.00125643,0.000816,0.212943997,0.309188
2018/1/29,0.000773311,0.00493,0.213717308,0.314118
2018/1/30,-0.004321437,-0.010816,0.209395872,0.303302
2018/1/31,0.000184962,0.001098,0.209580834,0.3044
2018/2/1,-0.000127469,0.00193,0.209453365,0.30633
2018/2/2,-0.000422066,-0.003836,0.209031299,0.302494
2018/2/5,-0.003455675,-0.013919,0.205575624,0.288575
2018/2/6,-0.015857538,-0.048082,0.189718086,0.240493
2018/2/7,0.001047535,0.016629,0.190765621,0.257122
2018/2/8,-0.000130992,-0.001193,0.19063463,0.255929
2018/2/9,-0.000411628,-0.012391,0.190223002,0.243538
2018/2/12,0.000695984,0.00174,0.190918986,0.245278
2018/2/21,0.001589541,0.028864,0.192508527,0.274142
2018/2/22,0.000505603,-0.002992,0.193014131,0.27115
2018/2/23,0.001573527,0.009803,0.194587658,0.280953
