season,st_id,beta
202101,2882,1.099014481
202101,2883,1.003811192
202101,2888,0.957512974
202101,2891,0.741704493
202101,2905,1.073533793
202101,2915,0.788290299
202101,3049,1.635344156
202101,3056,0.536479
202101,3308,1.443454891
202101,3354,1.577979255
202101,3390,1.353513186
202101,3432,1.118623541
202101,3481,2.143184547
202101,3489,0.897532375
202101,3494,1.282996996
202101,3498,1.334914899
202101,3522,1.274912095
202101,3535,1.379159643
202101,3543,0.806277826
202101,3591,1.613456251
202101,3607,1.794737496
202101,3615,1.635925931
202101,3712,1.645113518
202101,4306,1.076325773
202101,4402,1.403243064
202101,4406,-0.726598344
202101,4513,1.259096387
202101,4534,0.953962437
202101,4711,0.678868888
202101,4716,1.234116786
202101,4746,0.631758029
202101,4960,1.622091151
202101,5464,0.90974803
202101,5488,1.197015565
202101,5512,0.946405276
202101,5515,0.805328925
202101,6114,0.69693899
202101,6116,2.015618055
202101,6171,0.588118596
202101,6186,0.32934313
202101,6215,1.043002961
202101,6226,1.557381615
202101,6264,1.455205038
202101,6265,1.717104701
202101,6405,1.367770285
202101,6605,1.181066788
202101,8043,2.00144282
202101,8071,1.220251079
202101,8096,1.200165401
202101,8105,1.771486793
202101,8240,1.371483793
202101,8289,1.525637095
202101,8473,0.51846905
202101,8905,0.447038644
202101,9904,1.197760945
202101,9945,0.826058806
202102,1308,2.100521027
202102,1314,1.245083034
202102,1409,1.339792271
202102,1416,0.56006306
202102,1417,1.327294676
202102,1442,0.482981689
202102,1447,2.181530246
202102,1455,1.933751144
202102,1456,-0.147567988
202102,1457,1.214450804
202102,1459,1.336107049
202102,1504,0.526275548
202102,1528,1.72924361
202102,1570,0.812984784
202102,1595,0.461210438
202102,1605,1.94206158
202102,1616,1.731067957
202102,1714,1.056313885
202102,1727,0.304376449
202102,1810,1.759269689
202102,1815,2.236787752
202102,1906,0.927277579
202102,2062,1.126016976
202102,2064,1.540385726
202102,2103,1.449409604
202102,2208,1.270799182
202102,2331,1.638098592
202102,2344,1.896523927
202102,2349,1.011696957
202102,2359,0.569089109
202102,2371,0.93201539
202102,2374,0.69351119
202102,2408,1.126059591
202102,2409,1.601479669
202102,2442,0.429174745
202102,2462,1.072644893
202102,2482,1.150678119
202102,2483,1.098713725
202102,2491,2.182472573
202102,2498,1.478417954
202102,2505,0.576608962
202102,2511,0.578802378
202102,2535,0.448576704
202102,2537,0.62449467
202102,2545,0.424524704
202102,2546,0.193161776
202102,2611,2.50896654
202102,2612,2.324334751
202102,2838,0.244339123
202102,2867,0.585173867
202102,2887,0.458968948
202102,2905,0.634101421
202102,3011,1.699771107
202102,3024,1.54361915
202102,3028,0.629169927
202102,3033,1.229531186
202102,3049,1.007885805
202102,3060,2.499379723
202102,3213,0.582214352
202102,3231,0.539621293
202102,3297,1.211709491
202102,3306,1.10979842
202102,3481,1.483482208
202102,3498,1.229108699
202102,3543,0.253184862
202102,3615,1.720217181
202102,3689,0.864298385
202102,3706,0.542206308
202102,3714,1.004628247
202102,4526,1.130123446
202102,4541,0.956040637
202102,4746,0.228950078
202102,4916,0.976388058
202102,4942,0.468007115
202102,4960,1.202667104
202102,5011,1.202518172
202102,5521,0.622056915
202102,6108,1.118695404
202102,6113,0.715113139
202102,6139,0.842330927
202102,6154,0.839526355
202102,6161,0.019885576
202102,6167,1.059773378
202102,6227,0.300223407
202102,6251,1.553579181
202102,6265,1.493110681
202102,6270,0.815832479
202102,6499,0.682121328
202102,6508,0.390285035
202102,6609,0.485468806
202102,8032,-0.146301511
202102,8064,1.801822226
202102,8096,1.550005575
202102,8105,1.586114322
202102,8213,0.38837786
202102,8271,1.606619383
202102,8289,1.925395428
202102,8383,0.431092187
202102,8905,0.109737663
202102,9902,1.214771991
202203,1217,1.015430613
202203,1314,0.813576831
202203,1316,1.494198644
202203,1336,1.292837886
202203,1339,1.015828605
202203,1439,0.365182141
202203,1603,1.42084
202203,1608,1.675552408
202203,1905,1.091746182
202203,1907,1.326194896
202203,2204,0.635609475
202203,2331,1.248217676
202203,2347,0.416860282
202203,2352,0.808020212
202203,2354,0.993343327
202203,2355,1.341851792
202203,2359,1.39931192
202203,2367,1.212342777
202203,2371,0.384290476
202203,2374,1.544099031
202203,2387,1.33492438
202203,2392,1.104278758
202203,2425,1.09495657
202203,2444,1.486515145
202203,2474,0.555981177
